id,sent_requests,user_group
390,109,Group1
391,109,Group1
392,108,Group2
393,107,Group1
394,107,Group1
395,107,Group2
396,107,Group1
397,107,Group1
398,106,Group1
399,106,Group1
400,105,Group1
401,104,Group1
402,103,Group1
403,103,Group1
404,102,Group1
405,101,Group1
406,101,Group1
407,101,Group1
408,101,Group2
409,101,Group1
410,100,Group1
411,100,Group1
412,99,Group1
413,99,Group1
414,99,Group1
415,99,Group2
416,99,Group1
417,98,Group1
418,98,Group1
419,98,Group2
420,98,Group1
421,98,Group1
422,97,Group1
423,97,Group1
424,97,Group1
425,96,Group1
426,96,Group1
427,95,Group2
428,95,Group1
429,95,Group1
430,95,Group2
431,94,Group1
432,94,Group1
433,94,Group1
434,93,Group1
435,92,Group1
436,92,Group1
437,92,Group1
438,91,Group1
439,91,Group1
440,91,Group1
441,91,Group1
442,90,Group2
443,90,Group1
444,89,Group1
445,89,Group1
446,89,Group2
447,88,Group1
448,88,Group1
449,88,Group1
450,88,Group1
451,87,Group1
452,87,Group1
453,87,Group1
454,87,Group1
455,87,Group2
456,87,Group1
457,86,Group1
458,86,Group1
459,86,Group1
460,86,Group1
461,86,Group1
462,86,Group1
463,86,Group1
464,85,Group1
465,85,Group1
466,85,Group1
467,85,Group1
468,85,Group1
469,84,Group1
470,84,Group1
471,83,Group1
472,83,Group2
473,83,Group1
474,83,Group2
475,82,Group1
476,81,Group1
477,81,Group1
478,81,Group1
479,81,Group1
480,81,Group1
481,80,Group1
482,80,Group1
483,80,Group2
484,79,Group2
485,79,Group2
486,79,Group2
487,78,Group1
488,77,Group2
489,77,Group1
490,76,Group1
491,76,Group2
492,76,Group1
493,75,Group1
494,75,Group1
495,75,Group1
496,75,Group2
497,75,Group1
498,75,Group1
499,75,Group2
500,74,Group1
501,74,Group1
502,74,Group1
503,74,Group1
504,74,Group2
505,73,Group1
506,73,Group1
507,73,Group2
508,73,Group1
509,73,Group1
510,73,Group1
511,72,Group1
512,72,Group1
513,71,Group1
514,71,Group1
515,71,Group1
516,71,Group2
517,71,Group1
518,71,Group1
519,70,Group1
520,70,Group1
521,70,Group1
522,69,Group1
523,69,Group1
524,69,Group1
525,68,Group1
526,68,Group1
527,68,Group1
528,68,Group2
529,68,Group2
530,68,Group1
531,67,Group2
532,67,Group1
533,67,Group1
534,67,Group1
